term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032436)	Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032436)	1	1/83	0.012048192771084338	83	0.198038568286214	0.269570893954813	CDC20B
Regulation Of NIK/NF-kappaB Signaling (GO:1901222)	Regulation Of NIK/NF-kappaB Signaling (GO:1901222)	1	1/83	0.012048192771084338	83	0.198038568286214	0.269570893954813	EP300
Positive Regulation Of Double-Strand Break Repair (GO:2000781)	Positive Regulation Of Double-Strand Break Repair (GO:2000781)	1	1/84	0.011904761904761904	84	0.2001726193353897	0.2715675202316788	ARID1A
Nuclear-Transcribed mRNA Catabolic Process (GO:0000956)	Nuclear-Transcribed mRNA Catabolic Process (GO:0000956)	1	1/85	0.011764705882352941	85	0.2023010984664659	0.2717377791282232	PATL2
Mitotic Spindle Organization (GO:0007052)	Mitotic Spindle Organization (GO:0007052)	1	1/85	0.011764705882352941	85	0.2023010984664659	0.2717377791282232	KIF23
Positive Regulation Of Amide Metabolic Process (GO:0034250)	Positive Regulation Of Amide Metabolic Process (GO:0034250)	1	1/85	0.011764705882352941	85	0.2023010984664659	0.2717377791282232	PLXNB2
Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990)	Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990)	1	1/86	0.011627906976744186	86	0.2044240199319846	0.2727887741387467	ARID1A
Negative Regulation Of Angiogenesis (GO:0016525)	Negative Regulation Of Angiogenesis (GO:0016525)	1	1/86	0.011627906976744186	86	0.2044240199319846	0.2727887741387467	YJEFN3
ERAD Pathway (GO:0036503)	ERAD Pathway (GO:0036503)	1	1/89	0.011235955056179775	89	0.2107595805777352	0.2785037314777215	UBE4A
Positive Regulation Of DNA Repair (GO:0045739)	Positive Regulation Of DNA Repair (GO:0045739)	1	1/89	0.011235955056179775	89	0.2107595805777352	0.2785037314777215	ARID1A
Sensory Perception Of Mechanical Stimulus (GO:0050954)	Sensory Perception Of Mechanical Stimulus (GO:0050954)	1	1/89	0.011235955056179775	89	0.2107595805777352	0.2785037314777215	TPRN
rRNA Metabolic Process (GO:0016072)	rRNA Metabolic Process (GO:0016072)	1	1/91	0.01098901098901099	91	0.2149557593339884	0.2831294305790721	NOLC1
Sensory Perception Of Sound (GO:0007605)	Sensory Perception Of Sound (GO:0007605)	1	1/92	0.010869565217391304	92	0.2170456325124618	0.2849599110728129	TPRN
Positive Regulation Of Protein Kinase B Signaling (GO:0051897)	Positive Regulation Of Protein Kinase B Signaling (GO:0051897)	1	1/93	0.010752688172043012	93	0.2191300468797104	0.2858523367950069	OSBPL8
Positive Regulation Of Cellular Component Biogenesis (GO:0044089)	Positive Regulation Of Cellular Component Biogenesis (GO:0044089)	1	1/93	0.010752688172043012	93	0.2191300468797104	0.2858523367950069	TPR
Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)	Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)	1	1/94	0.010638297872340425	94	0.2212090164950614	0.2867263366671656	YTHDC1
Peptidyl-Lysine Modification (GO:0018205)	Peptidyl-Lysine Modification (GO:0018205)	1	1/94	0.010638297872340425	94	0.2212090164950614	0.2867263366671656	EP300
Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090100)	Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090100)	1	1/95	0.010526315789473684	95	0.2232825552481022	0.2879828092412965	EP300
Negative Regulation Of Gene Expression (GO:0010629)	Negative Regulation Of Gene Expression (GO:0010629)	2	2/336	0.005952380952380952	336	0.2235935324821859	0.2879828092412965	ZAR1L;PATL2
Regulation Of Protein Localization (GO:0032880)	Regulation Of Protein Localization (GO:0032880)	1	1/97	0.010309278350515464	97	0.2274133958593331	0.2919787132957368	TPR
RNA Splicing (GO:0008380)	RNA Splicing (GO:0008380)	1	1/98	0.01020408163265306	98	0.2294707254570178	0.2936936643427869	PPIG
Regulation Of Organelle Organization (GO:0033043)	Regulation Of Organelle Organization (GO:0033043)	1	1/100	0.01	100	0.233569272224541	0.2961454635370349	EP300
Response To UV (GO:0009411)	Response To UV (GO:0009411)	1	1/100	0.01	100	0.233569272224541	0.2961454635370349	EP300
ncRNA Processing (GO:0034470)	ncRNA Processing (GO:0034470)	1	1/100	0.01	100	0.233569272224541	0.2961454635370349	NOLC1
Hemopoiesis (GO:0030097)	Hemopoiesis (GO:0030097)	1	1/101	0.009900990099009901	101	0.2356105169439152	0.2978058397396692	YJEFN3
Regulation Of RNA Splicing (GO:0043484)	Regulation Of RNA Splicing (GO:0043484)	1	1/102	0.00980392156862745	102	0.2376464274738032	0.2994492135660616	YTHDC1
Inorganic Cation Import Across Plasma Membrane (GO:0098659)	Inorganic Cation Import Across Plasma Membrane (GO:0098659)	1	1/103	0.009708737864077669	103	0.2396770174824492	0.3010757596152989	SLC9A6
Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000045)	Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000045)	1	1/106	0.009433962264150943	106	0.2457370008212327	0.3077383364130514	ARID1A
Monoatomic Ion Transport (GO:0006811)	Monoatomic Ion Transport (GO:0006811)	1	1/107	0.009345794392523364	107	0.2477464448865542	0.3083571959291363	SLC9A6
Positive Regulation Of T Cell Activation (GO:0050870)	Positive Regulation Of T Cell Activation (GO:0050870)	1	1/107	0.009345794392523364	107	0.2477464448865542	0.3083571959291363	ARID1A
Positive Regulation Of Translation (GO:0045727)	Positive Regulation Of Translation (GO:0045727)	1	1/108	0.009259259259259259	108	0.2497506362945998	0.3089620333492466	PLXNB2
Lipid Transport (GO:0006869)	Lipid Transport (GO:0006869)	1	1/108	0.009259259259259259	108	0.2497506362945998	0.3089620333492466	OSBPL8
Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015)	Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015)	1	1/111	0.009009009009009009	111	0.2557318291185366	0.3135025736483264	EP300
Mitotic Sister Chromatid Segregation (GO:0000070)	Mitotic Sister Chromatid Segregation (GO:0000070)	1	1/111	0.009009009009009009	111	0.2557318291185366	0.3135025736483264	KIF23
Cytoskeleton Organization (GO:0007010)	Cytoskeleton Organization (GO:0007010)	1	1/111	0.009009009009009009	111	0.2557318291185366	0.3135025736483264	CECR2
Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056)	Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056)	1	1/118	0.00847457627118644	118	0.2695066005663393	0.329396956247748	AKAP13
DNA Damage Response (GO:0006974)	DNA Damage Response (GO:0006974)	2	2/384	0.005208333333333333	384	0.2707655354698007	0.3297962237469952	TRIP12;WDR76
Regulation Of Protein-Containing Complex Assembly (GO:0043254)	Regulation Of Protein-Containing Complex Assembly (GO:0043254)	1	1/119	0.008403361344537815	119	0.2714538942389273	0.3297962237469952	EP300
Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557)	Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557)	1	1/122	0.00819672131147541	122	0.277265267791134	0.3338667573697974	PLXNB2
Potassium Ion Transport (GO:0006813)	Potassium Ion Transport (GO:0006813)	1	1/122	0.00819672131147541	122	0.277265267791134	0.3338667573697974	SLC9A6
Regulation Of Protein Catabolic Process (GO:0042176)	Regulation Of Protein Catabolic Process (GO:0042176)	1	1/122	0.00819672131147541	122	0.277265267791134	0.3338667573697974	TMF1
Modulation Of Chemical Synaptic Transmission (GO:0050804)	Modulation Of Chemical Synaptic Transmission (GO:0050804)	1	1/123	0.008130081300813009	123	0.2791922666167747	0.3342095662147862	DLGAP4
Regulation Of Cell Motility (GO:2000145)	Regulation Of Cell Motility (GO:2000145)	1	1/123	0.008130081300813009	123	0.2791922666167747	0.3342095662147862	PLXNB2
Protein-Containing Complex Organization (GO:0043933)	Protein-Containing Complex Organization (GO:0043933)	1	1/126	0.007936507936507936	126	0.2849430676424651	0.3390989138318225	TPR
Cellular Response To Starvation (GO:0009267)	Cellular Response To Starvation (GO:0009267)	1	1/126	0.007936507936507936	126	0.2849430676424651	0.3390989138318225	GCN1
Regulation Of Cell Cycle Process (GO:0010564)	Regulation Of Cell Cycle Process (GO:0010564)	1	1/130	0.007692307692307693	130	0.2925408269831629	0.3471257043211292	ARID1A
Circulatory System Development (GO:0072359)	Circulatory System Development (GO:0072359)	1	1/132	0.007575757575757576	132	0.2963099475595603	0.3505760135370379	AKAP13
Non-Membrane-Bounded Organelle Assembly (GO:0140694)	Non-Membrane-Bounded Organelle Assembly (GO:0140694)	1	1/135	0.007407407407407408	135	0.3019267153971721	0.3561860091786928	PATL2
Regulation Of Protein Kinase B Signaling (GO:0051896)	Regulation Of Protein Kinase B Signaling (GO:0051896)	1	1/136	0.007352941176470588	136	0.3037891783385338	0.3573473860802984	OSBPL8
Potassium Ion Transmembrane Transport (GO:0071805)	Potassium Ion Transmembrane Transport (GO:0071805)	1	1/137	0.0072992700729927005	137	0.3056467657251325	0.3584963505767404	SLC9A6
Actin Filament Organization (GO:0007015)	Actin Filament Organization (GO:0007015)	1	1/144	0.006944444444444444	144	0.3185144093871205	0.3714480361620574	SHROOM2
Regulation Of Cell Adhesion (GO:0030155)	Regulation Of Cell Adhesion (GO:0030155)	1	1/144	0.006944444444444444	144	0.3185144093871205	0.3714480361620574	PLXNB2
