protein_id	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	B6	B7
A2A9R3	13420078.8009477	14204399.3779235	12883309.0227532	14811523.5633634	15260477.7177992	10725165.7329058	11485818.9605743	17751881.1250765	12028403.9009802	9977256.90456386	9537905.72877884	12501242.0543335
A2ADA5	220251.0	145493.0	217103.0	298653.0	7868.45709680072	214803.0	265317.0	18347.4844447983	220369.0	193095.0	106961.0	162293.0
A2ADY9	949577.160781021	979170.377899567	936500.315697788	1002999.69725095	594145.006998379	1438331.46650482	1615020.81365163	1293981.08747396	1240111.38365055	1605188.69460333	1033649.18098951	1468942.6144985
A2AG50	1297932.60684807	1509449.38089808	1193781.48871925	1215237.99405101	1183256.01435419	21205.1352611753	21870.862257378	512360.579972969	11083.9205329814	11039.581017712	1218099.23515643	13500.3069555349
A2AGT5-3	1129413.55964169	1022458.27971156	1129023.8980899	960964.68214318	911188.202124643	1482550.933504	1325182.92845441	1666843.08057763	1380568.1743647	1557410.34754449	776193.46228389	1025371.1815599
A2AI08	17162.7	17590.8	18782.5	16424.3	13769.3	27335.1	35073.7	44171.6	43077.7	35648.9	24900.3	47212.7
A2AJI0-2	18583.3	12460.1	14233.3	11783.1	21125.8	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	11039.581017712	24532.4	13500.3069555349
A2AKG8	418585.36691009	497440.879829362	362496.345552864	471226.066036498	381779.72043427	413649.138488419	464857.037069153	551676.385408259	489694.457543646	573053.548749517	458367.25033143	749743.703646491
A2AKX3-2	20020.5	15368.3	16218.2	12844.9	13124.2	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	11039.581017712	10877.4	13500.3069555349
A2ALU4	414897.613167771	440026.333259473	443888.354089651	551429.021991362	302505.682777013	267396.15080794	166217.199596723	200997.658715154	187931.837856973	179121.714378092	510221.484958253	110642.738401595
A2AMZ4	59000.9	55707.5	70369.5999999999	49425.2	56102.1	29923.4	26371.7	17327.5	38820.9	29594.3	43896.1	54889.9
A2AN08-3	7644407.83423784	7994042.7192605	7653926.70043515	8166308.72853679	7287267.86267954	10021579.6045841	9223000.6879999	9996657.11173939	9358044.12212785	9677231.15470841	7944086.71300686	9466740.38068369
A2AQ25-3	159582.0	105940.0	113020.0	176870.0	142454.0	389281.0	252959.0	317796.0	424452.0	368301.0	56842.3	406045.0
A2AR02	391752.930638721	382777.114119518	296803.607366492	298083.527893229	292025.841231255	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	11039.581017712	275858.578750784	13500.3069555349
A2ARM1	49848.7192569853	5745.61351911324	9699.09312483291	10636.6	7868.45709680072	2516282.11308382	2498685.52600919	2647751.85409802	3257033.87748449	2772011.43883576	80834.5793167968	2211688.39191494
A2ASS6	361667.954350669	391027.82944078	369556.823055545	556278.944833985	543345.441099318	208014.211115648	202858.01119759	182403.361742401	189986.905670703	199384.852218764	436728.4652746	13500.3069555349
A2AT37	1035069.78664122	1008291.56460131	1011607.03938174	1116293.45458008	1077646.9652679	469378.537108988	538836.642777761	593649.289427738	616473.69265731	463510.373736008	1019190.102959	194256.06086094
A2ATU0	515136.152698879	340755.257241	289252.300457908	406368.181222753	343498.356304938	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	11039.581017712	479692.882074519	13500.3069555349
A2AWA9	3459822.11561392	2843964.86307097	2657014.07614956	3180054.5280526	2561987.66043634	783206.333493253	932419.783375081	861974.777554996	1111075.57072136	947145.544129729	3125585.62429671	904858.903105494
A2BDX3	1061951.6164155	998076.492274875	709986.968819092	813307.410488118	731346.713917624	218124.843614214	503203.366670191	423998.453756897	372062.713576987	350068.593687342	1068254.4245832	575889.972195969
A2BE28-2	369238.672793407	289077.327569444	398972.209296648	257245.679124625	284356.627002609	37096.8259827342	21870.862257378	113253.262031336	11083.9205329814	11039.581017712	360812.606199196	13500.3069555349
A2BH40	805493.509133541	678502.645964469	668543.376735338	719518.11118354	761997.859687626	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	211379.374086868	702160.953208617	13500.3069555349
A2RTL5	170543.760914724	182567.821404721	93409.0367521684	132997.778201834	91853.3754219083	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	11039.581017712	116046.827304644	13500.3069555349
A3KMP2	238351.51336361	362186.581972176	347671.129831455	194491.101102285	7868.45709680072	349178.476296325	289144.939462423	355130.890550496	293181.373398824	268325.213680025	176452.463959622	509974.416382762
A6H5Y3	907250.137457445	803461.36660527	964601.181717894	848113.832595121	726190.771668837	133121.708749804	488132.446210998	91309.3938276346	4533911.05930679	261811.257086411	770843.883746289	190419.171027498
A6H630	270605.043412207	285342.663465654	320819.413274345	227178.452770126	285319.564551544	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	11039.581017712	301650.871995274	538116.390530853
A6PWY4-2	453296.951060126	485001.142266501	468421.558395633	498705.253766238	476225.092805192	31401.49397807	79823.3614658647	26726.0331849761	77794.4776601911	39566.7196178624	339116.875799346	13500.3069555349
A8C756	295674.389391159	308266.014206159	258503.758757507	313754.787923201	138723.175622091	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	11039.581017712	214429.074099883	13500.3069555349
B1ARW8	517521.23134096	449709.428227981	503776.79374652	441385.679930699	357732.864051656	185931.953225175	108231.349241278	253770.068382224	197645.945342656	208719.938953106	402796.147557748	13500.3069555349
B1AVY7	95158.9912141586	180518.180679545	226394.638027376	74356.2061707529	139479.381432227	208576.652848207	167913.466147938	297960.187483128	11083.9205329814	234349.829945888	200711.660039552	96324.206011227
B1AY13	103162.600083675	108863.531178204	87890.8363257656	116054.629946338	61599.4813383732	21205.1352611753	37702.8257350613	47952.2854741411	36728.4041348474	18287.1929841613	84601.5627994328	13500.3069555349
B1AZA5	560577.212593049	578111.058778262	632609.374268045	574212.375821891	592381.78439386	486611.787547556	396709.574001651	340749.296733779	529588.609640011	457741.452301155	668550.958571976	312106.715348768
B1AZP2-3	286409.55658466	264108.345461394	290510.578830712	223776.434663246	181156.40184916	579701.082939352	753192.503770064	807898.09408808	953278.335485902	803383.735207027	348967.159899033	738966.591221374
B1B0V2	30295.4	29600.1	13827.6	21398.8	9145.93000000001	66432.2	60949.9	123579.0	113131.0	109718.0	22559.5	68645.6
B2RQC6	15525678.5821653	16685735.0332648	16195848.4592286	16088098.6691906	16408204.4103971	2926885.96935913	2536593.3256066	2883073.30933358	2016600.64796657	2476449.79248933	14715482.3691353	2301653.15186326
B2RR83	294631.939812167	361703.383933238	319157.012634465	511499.89222364	459930.784685469	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	299647.305366341	433731.18134468	13500.3069555349
B2RRE7	188099.098247253	193320.599456968	206058.517436404	252221.912289238	213133.766706819	56817.6162915123	21870.862257378	19025.6088915041	11083.9205329814	94521.1744661237	190945.737016501	69605.5691976766
B2RWS6	59424.3	62223.9	50092.5	52073.6	61029.1	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	11039.581017712	67777.8999999999	13500.3069555349
B2RXC1	149426.015871535	139670.213777657	147345.18393744	173980.579606009	136854.970035498	183960.785583647	156622.877181527	172053.443315908	159732.301800492	135154.452506947	122857.720863955	101349.955519386
B2RXR6	6945.29058050294	4692.78493459876	7203.84479532458	10636.6	7868.45709680072	26659.6604268626	45257.1260501403	49843.2449927773	35778.9661388486	44995.2945203579	11822.5116149898	28381.5475605872
B2RXS4	261890.964094669	206146.31078518	51263.850165455	225407.178308235	138419.212073998	384209.6137477	381967.857568868	405075.2795271	376011.81426967	408589.079675467	148463.923601105	605456.816182551
B2RY56	876788.781566825	1076503.8563602	1065654.84607486	949393.212816686	1068114.5907409	492548.137473244	1133714.17978517	738832.759877419	446663.265633331	869995.739509249	1014041.92487703	1231741.71528508
B8JKV0	8649.91277793003	38849.3055114215	9699.09312483291	27975.2615869804	530992.840361489	396371.958578163	409848.451923364	388814.135185747	309361.181609097	399170.745123626	98430.9584066745	328387.288935509
B8ZXI1	99429.0036471772	141033.659983549	103992.10927613	73306.6992455871	52210.5315692166	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	11039.581017712	114303.396278341	13500.3069555349
B9EJ86	111726.081890063	207765.773275425	140724.063282501	177537.227019129	7868.45709680072	784091.61972248	613187.479625372	767113.699941246	623395.884274143	651137.074225763	84448.7382844067	648098.558459475
B9EKI3	23713.4	17707.9	17951.9	14400.3	7241.14	21205.1352611753	21870.862257378	18347.4844447983	10501.4	9510.51	32892.8	13500.3069555349
C0HKD8	55073.4167800815	70242.5087270594	44310.7073471443	43319.0619775994	44159.7122986209	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	11288.2780100129	50478.0648594817	13500.3069555349
C0HKE1	36022779.9426579	53696307.8889036	63833644.5044317	75198253.6246719	83192719.3783253	3844178.01485884	3647025.40820711	2849256.86982417	3099665.12999296	2807388.8866391	43245834.0467202	3125952.3747674
C0HKG5	742010.676524277	963216.512607726	778461.121479829	808502.995317512	768034.885724437	166692.401669084	63659.4636651648	208970.039887088	69169.2805640466	150017.431157802	762382.275851637	133407.885551395
C0LLJ0-2	293642.574333692	889271.289834645	125761.276510262	210374.231190972	277271.66758556	1997025.03671741	1936389.22486296	1794828.31278773	1587978.71260831	1427418.58196573	360461.848132454	2014539.84347027
C3VD30	8679.4035863862	5745.61351911324	9699.09312483291	10636.6	7868.45709680072	1767740.4996216	1915072.96004184	1859720.89918794	2095913.04653764	1918799.45132804	11822.5116149898	2075725.74328294
D3YXK2	4677578.50130963	4317793.1061217	4728715.62632331	4136972.19343152	4210491.80711624	990998.645356002	807399.925389995	863256.145585635	1093444.52768899	942880.912342056	3495234.81235773	706318.926977209
D3YZP9	857984.397476691	899947.369638353	610685.486517818	833189.715921361	694586.410730337	1250320.48415024	1322170.93481358	1547770.63793157	1492059.71606733	1303973.13890744	899144.525307263	1370536.84253799
D3Z3I0	39524.2	38989.3	47110.3	36367.5	60826.5	121880.0	119364.0	112191.0	84959.2000000001	96157.6	11822.5116149898	99095.0
D3Z6Q9	1616096.31044646	1484447.32326047	1711212.93542692	1746933.75102839	1217862.3912463	1606860.92663963	1767697.32359395	1864712.84302811	1597288.76934846	1869114.27367935	1697416.6252469	1188048.92705509
D3Z7P3-2	11918.5188251333	31519.5064539931	27852.7003472188	10316.1832414816	24826.4368102705	21205.1352611753	21785.1321824824	19049.0809243508	11083.9205329814	11039.581017712	26876.2412150697	13500.3069555349
D3Z7Q2	74473.4999999999	110887.8	148210.0	72653.0999999999	105203.6	32312.2	57016.3	66927.9199999999	61127.09	29597.6	61650.0	17758.4
E9PVA8	8244870.04365005	8042323.98148002	7125990.38284057	8929687.24425423	7335976.72598213	3301933.72676212	2902894.9904006	3003956.92355232	3638727.89123733	2914209.62541972	8693670.12827543	2649908.35614549
E9PXV9	8679.4035863862	17253.6	9699.09312483291	10636.6	7868.45709680072	87157.3000000001	79621.6	64844.3	102566.0	58172.4	11822.5116149898	47803.5
E9PYK3	880465.36779266	722282.69430145	634028.320810755	747629.421763816	593875.802280162	700429.376903572	733300.201379239	798582.811188219	683243.529317343	847625.012692593	861498.680789478	915500.580780725
E9PZJ8	249745.085546904	236866.55589733	229474.161978174	262551.296815339	199470.277406516	130983.858015017	21870.862257378	20469.9080654428	181905.038396848	74680.4497394648	185067.908138964	13500.3069555349
E9Q137-2	265333.22796325	311775.045642867	316219.882437806	234702.93922772	279609.921939794	348003.234348574	336619.172342649	335655.11289068	227667.090899382	400577.31059447	247116.379995791	302613.701717018
E9Q1P8	588326.376140388	601063.333710741	605052.287219419	950414.01799054	921622.524237391	1036441.78615857	591708.129079914	18347.4844447983	11083.9205329814	771337.544069143	845395.27920697	2108017.19218692
E9Q2Z1-2	259033.273731295	235829.41169793	199037.020620319	140350.0692075	142356.107190776	21517.549279176	21870.862257378	18347.4844447983	11083.9205329814	29841.7796776163	181153.088595387	13500.3069555349
E9Q394-2	3549306.12835679	3393410.407043	4004021.2761511	3947361.06898918	3496748.59606672	800586.884520293	1423382.1263026	791623.283106301	924820.698917334	870406.325045012	3616512.25374997	1279639.13175173
E9Q3G8	80862.6296964385	64608.8700624702	75140.7530280385	67472.8371843633	83971.8264109612	20000.1848760086	21895.1034747343	29814.7457880063	22832.5857258692	22608.0729862163	55944.7496109948	24910.9711558987
E9Q3L2	84562.0340323483	55728.2898537549	106445.840638525	81885.224229957	197580.06639799	21205.1352611753	21870.862257378	151103.957493978	68546.6696110438	72623.3143444928	110580.287674186	111504.415723723
E9Q4N7	463231.638976855	522633.183863352	483087.07871496	470275.391126417	516268.996802348	21205.1352611753	21870.862257378	183413.702319056	156841.766331649	241564.128638501	497666.36322686	13500.3069555349
E9Q5C9	9848684.63095723	8416061.60389042	9334877.86713019	9394378.12510002	9769230.3106325	1685591.30095605	1803893.27336439	1707410.42732484	1732322.53708455	1774283.2517592	8445192.21864983	2881557.15315073
E9Q5G3	672445.946795281	5745.61351911324	9699.09312483291	10636.6	7868.45709680072	352115.700289701	394447.702301897	1269953.06245777	353817.526634443	363208.303016451	11822.5116149898	290854.458504452
E9Q5G7	8679.4035863862	5745.61351911324	50568.9436864919	10636.6	7868.45709680072	3934158.0674533	4116148.92485872	4003694.72429227	3278170.53633142	3631071.54504079	11822.5116149898	4144353.19833703
E9Q5K9-2	269914.580905139	259279.130981509	294943.638394309	287013.155678819	286009.297904611	21205.1352611753	21870.862257378	18347.4844447983	11225.1752458618	11039.581017712	196572.400889753	13500.3069555349
E9Q649	70072.0652899765	96218.6705643393	64268.9822588159	27590.469115344	37377.2829811336	72307.9040257985	70353.7458405604	44266.5134247678	11083.9205329814	74978.0511478983	45706.6553513654	13500.3069555349
E9Q6J5-2	54568.0194632565	43099.2525169275	68670.9522198642	89267.9666875153	67563.8918919714	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	11039.581017712	57347.4172204653	13500.3069555349
E9Q735	971818.564149911	941547.372342788	889445.382555756	849432.863077579	861046.16401686	448273.126087401	394115.564291402	175323.929098184	278890.300440543	286900.908819042	1197259.33752089	153724.917599638
E9Q7G0	5085820.8706146	5225426.58690333	5238141.98089479	4628844.00056791	4625720.24886202	941048.905458433	7260654.59065823	1087802.74943002	2434519.36329732	596034.865862337	4632731.9896919	1015941.46775912
E9Q7M2-2	81460.2999999999	74353.2	78435.2000000001	74954.8999999999	72157.0999999999	51039.5	41159.7	35991.8	40974.0	33706.5	80962.2	61146.6
E9Q8D0	1940420.25691441	2080748.30335208	1960044.12844721	1934709.80526513	2000287.26762251	2130277.61112302	1663420.35982403	18347.4844447983	162319.253600275	43456.1114090472	2435577.09838516	1975104.80405712
E9Q912-2	731832.519611413	691062.658415694	734359.637892859	782659.341413265	516980.844447659	767039.104307993	878116.135867013	766390.844550026	626837.995580354	855502.389051736	904072.46835719	654001.300504792
E9QAT4-2	1292133.61505212	1432402.43187697	1647419.82127555	1306592.52060731	1392417.27052672	1273264.39630206	1567160.34374411	1337569.00163436	1284992.64391697	1268674.44667258	1661421.79328508	1449972.91510616
F6W8I0	22238.6	11970.5	16474.5	10636.6	60806.3	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	11039.581017712	32246.3	13500.3069555349
F6ZDS4	3724175.93351501	4215026.06007171	4024563.53527485	3130194.4362931	3205866.94648229	1141576.72869859	774321.16919338	941202.707019087	726377.549794126	920972.339329086	3076337.54092836	915854.403400408
F8VPK0	108326.556566473	116663.628573668	115982.897816226	43689.1871082576	103612.741068995	65099.7362420712	88155.6862710538	76903.8420195436	102843.723162021	82996.0211876586	139512.703277514	83475.3667065185
F8VPU2	155651.438531075	157912.774027567	149095.154046322	160782.792896938	150323.972928442	176708.644632877	138724.61692474	297112.497909922	261094.041258219	228092.015521126	221424.749606585	197096.00171619
F8VQB6	206384.355517024	242744.934727649	352275.549213457	219306.241827522	277496.365494396	630918.114029835	668595.77568418	566070.330334703	880487.194240623	653571.967413994	262725.685853723	735954.985662897
G3X8U3	2636016.17167958	2780984.25790923	2101585.95118512	2481795.82334844	2041399.69512612	1438444.38896617	1333452.60529071	1462450.97091049	1218460.22144432	1455889.52978835	2021505.38460647	817638.049745018
G3X9K3	430489.716944177	349408.834403488	343565.850602422	343309.075806027	326515.935886562	263284.479495644	221206.859049167	271486.11990787	337600.335261134	297623.93495187	395691.579311975	278553.148379664
G5E829	1745267.00015227	1540314.08307287	1712907.38427022	1865147.52070425	1587670.80364746	1176121.05045353	925263.578622875	894674.637794941	1369799.07800331	1144137.01840315	1830216.27436602	2713746.43050911
G5E870	1074561.26699981	1117055.37140233	1269848.43407085	958621.350212662	1160469.41329556	821115.411518345	773499.752769695	848055.508888318	807547.42516562	900281.908169181	1151755.28201748	614868.525490135
G5E8V9-2	217654.781941022	304571.353221792	306705.909133409	130578.298984742	213693.74800069	345772.917531255	277871.380271565	373683.017911062	440622.627629619	364792.66468054	280180.499420709	347996.261273592
L0N7N1	2929872.66408335	2600675.07397374	2464849.12797014	3044126.5823525	2288028.11241451	2591536.35431817	2505259.20449087	2446793.90572617	2398311.93346616	2628943.18293235	2579211.11457051	1896783.5437015
L7N1X6	463425.595124251	495651.208965093	558287.99549084	623643.247987771	74572.1610791281	30124143.3382361	25531131.5351692	26777256.285446	26933514.112351	30178131.8443436	589320.03471438	26314707.0910924
mmu_Cltc_0039000-ORF3(435,582):none:25.3 PE=2	233273.0	226185.0	207016.8	161154.5	165948.2	115119.3	131345.2	138730.9	130246.0	56587.1	230611.2	51894.3
mmu_Mdn1_0010000-ORF3(168,315):none:25.3 PE=2	606741.441587411	670603.356900977	602308.6459603	589751.360831764	548614.753103755	124611.561790001	21870.862257378	18347.4844447983	144063.290759614	98139.9083463764	622232.4807198	13500.3069555349
mmu_Mdn1_0088000-ORF2(148,295):none:25.2 PE=2	186705.0	217910.0	205998.0	145659.0	106659.0	21205.1352611753	21870.862257378	18347.4844447983	11083.9205329814	11039.581017712	143765.0	13500.3069555349
mmu_Mipep_0004000-ORF45_ATG_RCT(1294,2722):none:20.3|472.1 PE=2	300904.366151316	302211.478514591	297206.316055395	372093.448249758	401915.434389531	235209.877482071	263067.536709877	201341.309829776	143049.712219281	186210.479117201	374666.655548422	375767.485732778
mmu_Pabpc4_0001000-ORF3(394,478):none:25.3 PE=2	761790.055599526	812330.850077439	715313.954408933	591853.706381555	750929.060745058	1332667.82095269	1348695.24658074	1560919.480045	1192869.23301379	1299692.28320293	638709.367812333	1105800.34118003
mmu_Ybx2_0003000-ORF1(64,211):none:25.1 PE=2	2334350.43915265	2400775.7671052	2423201.20120375	2711173.41067755	2551285.22219518	7125925.29199311	7027706.79524209	7485622.19949806	9360145.26557514	7620212.3232136	2628897.69983702	9978373.38430663
