term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
Positive Regulation Of Protein Localization To Cell Periphery (GO:1904377)	Positive Regulation Of Protein Localization To Cell Periphery (GO:1904377)	1	1/51	0.0196078431372549	51	0.0277017430592618	0.0464094136966854	NUMA1
Microtubule Bundle Formation (GO:0001578)	Microtubule Bundle Formation (GO:0001578)	1	1/51	0.0196078431372549	51	0.0277017430592618	0.0464094136966854	NUMA1
Regulation Of Protein Localization To Nucleus (GO:1900180)	Regulation Of Protein Localization To Nucleus (GO:1900180)	1	1/52	0.019230769230769232	52	0.0282378723956638	0.0467010966543671	TPR
Regulation Of Proteasomal Protein Catabolic Process (GO:0061136)	Regulation Of Proteasomal Protein Catabolic Process (GO:0061136)	1	1/53	0.018867924528301886	53	0.0287737329936235	0.0469849564073093	TMF1
mRNA Transport (GO:0051028)	mRNA Transport (GO:0051028)	1	1/58	0.017241379310344827	58	0.0314490090797197	0.0500854589047389	TPR
Response To Organic Cyclic Compound (GO:0014070)	Response To Organic Cyclic Compound (GO:0014070)	1	1/58	0.017241379310344827	58	0.0314490090797197	0.0500854589047389	TPR
Positive Regulation Of Organelle Assembly (GO:1902117)	Positive Regulation Of Organelle Assembly (GO:1902117)	1	1/61	0.01639344262295082	61	0.0330509575559811	0.0515760503913313	NUMA1
mRNA Export From Nucleus (GO:0006406)	mRNA Export From Nucleus (GO:0006406)	1	1/62	0.016129032258064516	62	0.0335844049059831	0.0515760503913313	TPR
Phosphatidylinositol-Mediated Signaling (GO:0048015)	Phosphatidylinositol-Mediated Signaling (GO:0048015)	1	1/62	0.016129032258064516	62	0.0335844049059831	0.0515760503913313	PI4KA
Phosphatidylinositol Metabolic Process (GO:0046488)	Phosphatidylinositol Metabolic Process (GO:0046488)	1	1/63	0.015873015873015872	63	0.034117584722214	0.0517784521078307	PI4KA
RNA Export From Nucleus (GO:0006405)	RNA Export From Nucleus (GO:0006405)	1	1/65	0.015384615384615385	65	0.0351831422208768	0.0521681074309553	TPR
Regulation Of Translational Initiation (GO:0006446)	Regulation Of Translational Initiation (GO:0006446)	1	1/65	0.015384615384615385	65	0.0351831422208768	0.0521681074309553	TPR
tRNA Modification (GO:0006400)	tRNA Modification (GO:0006400)	1	1/67	0.014925373134328358	67	0.0362476310178566	0.0531357318329943	QTRT2
B Cell Differentiation (GO:0030183)	B Cell Differentiation (GO:0030183)	1	1/68	0.014705882352941176	68	0.0367794749552908	0.0533095760587922	IRF2BP2
Positive Regulation Of Protein Polymerization (GO:0032273)	Positive Regulation Of Protein Polymerization (GO:0032273)	1	1/70	0.014285714285714285	70	0.0378423625037638	0.0536446677251157	NUMA1
